Open_Text,Perfect_Interview,Compensation_Expectation,Documentation,Inexperienced_Interviewers,Infrastructure,Insufficient_time,Interview_Content,Interview_Process_Drive,Interviewer_Professionalism,Job_Description,Lack_of_Knowledge,Lengthy_Process,Loop_Closure,Online__F2F,Openess_to_Multiple_approach,Problem_Statement,Role_Clarity,Selection_Information,Schedule_Adherance,Timely_Communication,Time_Slot_Flexibility,Recruiter_professionalism,Joining_Date_Flexibility,Application_Process,Sum
Bad interviewers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bad interviewers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I really feel that it was biased, predecided.
Even after doing all the things, working solution provided, modular code, still got rejected and the reason is still not shared.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
dont fool people and waste there time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Interviewer question was not accurate. I mean, there use case and strategic questions were not properly asked. This was confused me and given the wrong answer. When I was looking at the internet, I felt the asked question was entirely wrong.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Delayed to got offer letter..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
I don't have any specific feedback.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It of the two interviewers, the first one was a bit annoying in the beginning. He was of the opinion that if the program didn't compile, then the interview ends there straight away. I knew that it was a stress rest, and the question was to difficult to be completed in the given 1.5hrs. Although I couldn't complete the first question, I kept my cool. Also, he didn't allow me to put forward my points and straightaway started picking out mistakes, without asking me about it. Agreed that the code was incomplete, but he shouldn't have made me feel looked down upon, just sure to the mistakes. The question was already tough to be completed in the given 1.5hrs",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"My first round went well.
In second round I did answer 1st question, got stuck at 2nd and then third question was not clear as the interviewer scribbled on the paper meanwhile the interviewers exchanged glance and made me feel uncomfortable. Not being able to answer 2 questions doesn't give anyone the rights to insult someone. For instance, Interviewers lacked the knowledge of how designations are within financial institutions. They asked me ""how come you are manager if you can't perform well in our easy questions?"". Very nice culture of the company this shows, and I am glad I am not part of it. The interviewer did not have the manners to inform through the HR also the result, he immediately asked me to leave. Great culture!",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"My first round went well.
In second round I did answer 1st question, got stuck at 2nd and then third question was not clear as the interviewer scribbled on the paper meanwhile the interviewers exchanged glance and made me feel uncomfortable. Not being able to answer 2 questions doesn't give anyone the rights to insult someone. For instance, Interviewers lacked the knowledge of how designations are within financial institutions. They asked me ""how come you are manager if you can't perform well in our easy questions?"". Very nice culture of the company this shows, and I am glad I am not part of it. The interviewer did not have the manners to inform through the HR also the result, he immediately asked me to leave. Great culture!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the tech interviewer was a little indifferent and distracted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I only had one telephonic round, post that I was reached out to multiple times for the next round however it wasn't firmed up. Lastly I wasn't informed if the process is closed.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"They did not show the same attitude after the interview, I guess due to result being negative.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
I went through all the rounds. Still don't the reason why I was rejected and where I couldn't meet the expectations. I came to know I was rejected only after insisting on a reply from HR. I was not informed.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Very difficult to connect with the hr 
Please give me more cloudy towards who is going to be manager and CTC discussion",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
"The problems given were unrealistic.
Even if I had complete design ready, coding an InMemory filesystem within 90 minutes is impossible.

Need to have some realistic problems or more time.
I discussed the same problem with many other aspirants, and everyone said this is unrealistic, no one can do this in 90 minutes.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
If the position and Job Location is not clear why raise bars in this pandemic and waste time and resources at both ends,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Ensure the calendar of interviewers are also blocked. Disappointing to wait for interviewers for many hours unsuccessfully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
I do not have the feedback and the progress of the candidature as of yet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
I'm definitely not comfortable with the commitment and dedication of an interviewer who is having his last day in the company. Its difficult to accept that someone on the last day of his tenure is expected to give his 100% in my feedback.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I think the interview process is a bit repetitive. There were 2 business rounds which looks repetitive.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Unrealistic expectations in interview.
Really bad machine coding round I had. Unhelpful and strict to ask to implement all in 1 hour. I was given just 1 hour to code and was being done remotely. In that case it should have been 2 hours",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
second Round interviewer was very impatient.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Still not clear about the interview,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
"I had very bad experience. 1st time I was not selected. I had only one round. No issues till here. After 20 days hr again sent mail for interview. I thought it was the continuation on previous interview. 
This time I was selected in 1st round and waiting for 2nd round. Unfortunately same person came who had taken my interview first time. He asked me have we met before. And after that interview was cancelled for me. I called HR but she didn't pick my call. I wasted my time. More than that it was disappointing for me that why they called when it was the same process. They don't maintain database properly.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
I havent satisfied with technical interview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The interviewers were not good listeners. I had to repeat a concept separately for both.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The time schedule was not met. The interviewers weren't available.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Technical interview not satisfied.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think the process is in place except the issuance of offer letter process is time consuming.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very goof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"While the questions were good, occasionally one could derive conclusions over single instances which would be incorrect interpretation of the individuals capability. Lack of Ownership is one such example, its very difficult to articulate the environment in a early stage startup, the nature of push and pulls are such that occasionally one does drop the ball. Generalising a profile on that one instance is wrong in my opinion.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Interview was great and interviewer never made to feel uncomfortable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After selection, i have to wait for almost 02 months for offer latter. In between HR mangers are not responding on call. So i lost the trust upon the company.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Reached pretty late at night day before, lack o f sleep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The expectations were unclear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine coding is too cumbersome,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Just felt that certain interviewers could have managed time better. There were multiple reschedules because the interviewer were not available.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Felt time was not sufficient for Machine coding round . may be the scope of the problem can be reduced,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Yes he was not clear with the question himself,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Interview process was not relevant to the position and candidate's experience.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"No, i didn't find any problems in the interview process.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The format is not open minded. There is one answer that is being expected from candidate instead of multiple possibilities.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
I answered all the questions correctly but he is not happy and doesn't know why.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
I understand the current ups and downs or uncertainties of interviews are because of the 'new normal'. So though I have rated low but I don't have any complains,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30 mins was a bit short, given that a variety of areas needed to be covered. At times felt couldn’t express myself fully due to the lack of time.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The feedback are the following
1. The exact role/team is not informed to the candidate before the selection process nor before the offer was sent in.
2. Scheduling of interviews were absolutely pathetic. I had 4 half hour rounds of interview spread from 10am till 6pm. I was not communicated on the interview timings and was made to sit in a meeting room doing absolutely nothing. The worst is that the HR coordinating the process had no clue of what interview has been done for a candidate and what is pending. In my case even after informing the HR that only the HR round was pending, the HR begged to differ and I was made to wait for 2 hours in the room for the HR interview to be scheduled on the subsequent day.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Complexity of the problem will not define the candidate always.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"I was shortlisted for the interview and was planned to travel to Bengaluru . However, I was told it is being rescheduled as the interviewers were not available and that never happened......Very unprofessional....... You need to be open in communication and be Damn sure in what you guys are doing......",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The interviewer told me that i was wrongly shortlisted and ended the interview.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I wasn't told that I would need to execute code on my local machine. I didn't have my environment set up due to which I didn't get through even though my code was working. Nowhere was it mentioned I need to execute on my local machine. You can lose good candidates cause of things like this.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nothing to say all is welland goof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The first and second interviewers were very nice and good listeners. I had a very interactive discussion with them and enjoyed it.
The third interviewer (Narayan) seems to be very busy. Not sure he was notified beforehand about the interview or not. First, he was supposed to take the second round, but he was in meeting so second round shifted to third round. Which is fine. After second round, again I had to wait for almost 1 hour, because he was still in the meeting.
When he entered the room, he seems to be still very busy. He took 10-15 minutes to start interview, looks like he was finishing off some pending work.
Then he explained the question on the whiteboard and I understood the question. He asked me to think and tell my approach first. And he went back to his work again. Then after some time I interrupted him and told about my approach then asked me to code. And he again went into his laptop.
After that, he explained to me about second question. Same process, he asked me to give approach adn went back to his work. Here genuinely, I was struggling to find right approach for this question. I needed his help. I gave him brute-force approach but that was inefficient. He asked me for an optimized one. I gave 2-3 different approaches which he listened and they won't work. I needed a little hint to go into right direction. But he was busy with his work. I mean I understand the candidate shouldn't expect the interviewer to give hints but definitely he helps. In the end, it led to rejection.
After I came home, I looked up for an answer to that question. It was not that difficult. I was just went into the wrong direction. If a little hint was given, I'm sure I could have solved it. But anyways bad day for me, I totally understand it.

I may look like sounding biased here because it led me to rejection but that was my observations and analysis. The interviewer might have different thoughts about it. In the end, I was the one who was not able to answer the question in an optimized way so I got rejected. 

Cheers",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
The interviews ran very late. Almost all the interviews started at least 15 minutes late. Often there was lack of availability of rooms. We had to shift rooms in between.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Due to some personal medical problem i was not able to attend the interview and informed the same to the concern person. Sorry for the inconvenience caused. I would like to take up the opportunity in near feture.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothing wrong with current process.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
It was great learning. I don't have any inputs as of now,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Need improvement in HR related querries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"worst Interview I've ever had. It got scheduled after so much of calls and escalations. It took over 2 months to schedule and then randomly one day it gets scheduled, and that too at 5PM. worst experience. My HR was rukmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
I do not understand why do you take interview if you do not want to hire if someone perform well too.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Process is slow. Evem after 3 weeks i have no idea about the result.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
The design interview for the position was not relevant at all. The system design was discussed but the interviewer took it in a completely wrong direction.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"The assignment was given by the recruiter since the interviewer was not present hence couldn't clear my doubts and had a late start of the assignment. The interviewer was busy in communicating with the food delivery guy in front of me and went out 3 times during the interview and merely spent few minutes. Few questions he asked about optimization which I had already done like bundling resources, in assignment itself but he was in a different zone and didn't listen at all. It was a very bad experience. I didn't feel before to write this review also since this was the 3rd reminder, I had to write. It was a awful experience from the interviewer.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Basic information from the travel desk will really help. I had to manage most of the things myself. Such chaos at the 11th hour was extremely demoralizing.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The technical interviewer was rude and was biased about his opinions on technology,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Some interviewers were not good listeners. To drive home a point with them proved to be difficult. They were replying in haste.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"I have bad experience only for the final round of intrview as it was scheduled several time but didnt happen, also no response from HR person on the same is quiet worse thing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Would request to extend the selection process son weekends as well since sometimes providing time on a working day is difficult due to work commitments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"One interviewer was asking internal questions about last organisation , I was not comfortable",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Schedule it properly. Its a time consuming process,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Interviewer doesn't have clarity on what he want out of this interview. His knowledge is limited and expect me to be familiar with some nitgritties,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Don't leave us orphaned on the day of interview. And also don't keep us waiting for 2 hours sitting in a room alone before letting us know on phone that we have been rejected.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
The interviewer did not explain the problem after submitted why he gave such a problem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
If the initial interviews of an interviewee according to the recruiter were not satisfactory then why do they have to make the interviewee go through all the rounds of interviews only to let them know at the end your initial interview was not good so we can't recruit you. The recruiter has to respect the interviewee's time and tell them that they didn't perform well initially itself rather than make them go through 5-6 interview rounds only to tell them at the end your 2nd interview was not satisfactory. This gives false hope to the interviewee and I sincerely hope this changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Unrealistic expectations in machine coding round , in 1 hour either proper modeling can be done or runnable implementation, not both. Design round was also not appropriate. No direction",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The interviewers must be in sync regarding the requirements. I felt that all the people who interviewed me were out of sync. They didn't have the clarity of the requirements of the role or weren't in sync regarding the requirements,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Checking that the interviewee and interviewer has not worked together in last company as there can be a biased approach towards the interview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"First, time wasn't well managed to give enough time for thinking question. The clarification questions are not well answered. Some questions are purely looked at from personal experience stand point and the explanation is not well taken.",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"At some point, there was communication issue. My phone was not reachable or I couldn't pick up when interview scheduling was being done. The recruitment coordinator gave up and waited for couple of days before reaching out again. The coordinator could have simply emailed or whatsapped. That was the only inefficiency that I faced.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Engineering manager rejected me because of lame reason. Feedback was that I didn't know one technology but that technology wasn't even mentioned in the job description.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Interviewer was not knowledgeable about my topics and my experience,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Damn lengthy process despite which feed back is also not provided,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
I personally felt the interviewer are not trained to conduct interviews for experienced engineers.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"The category was changed in between, we vould have stuck to same category. No scope for salary negotiation left. Delay in process closure",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
Some of the interviewers in design round were not so knowledgeable and I felt that they were seeking only a particular solution they had in their mind,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
The person shortlisting the resume failed to apply his/her mind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The interview questions were related to the problems faced in work, instead of very abstract questions.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"1. The status of the application is not updated. I still don't know if what is the current status of my application.
2. Do timely updates on the candidate login page. Also do communicate the delay due to any reason.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3
"If you don't want ""data science"" folks to join general analytics teams, DO NOT call them for interview. It doesn't make sense to tell that you won't be satisfied with the work during the interview itself, which is dis-encouraging.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Process speed is little bit slow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The interviewer himself was very confused about the question he asked to me. He was not welcoming to the new approach of solving the problem. He was taking too much time to understand the solution.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"Interviewer was good, but the process of recruiting is not good",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Please improve management, if i was not cleared 2nd round, then why you have taken 3rd and 4th round, HM round. Then after that HR told me to your rating was not good in 2nd round.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"It's been more than a month, and I haven't recieved the offer letter. Process was delayed",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
Implement process and hard work,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Check the approch of solution not that if problem is completed or not in 1.5 hrs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The interviewer, while discussing my code, made rude remarks such as when was the last time you coded and what position do you work at. Such statements are uncalled for.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The experience was rather unpleasant. After clearing the CV shortlisting and Telephonic Discussion was called on campus when recruiters were not available and later told profile was not a match. If matching of profile was a concern then shortlisting itself shouldn't have happened.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Was not sure after interview what is going on till i got the call for offer. I was not updated.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Irrelevant questions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Can you atleast tell the candidates the result of the process. It's been almost 3 weeks now and I don't even know if I was rejected.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
As of now i dont have any specific inputs to share.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I was rejected but I wasn't given any feedback on where I need to improve or what mistakes I made.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Overall it's good. But the interviewer looked a bit frustrated. I don't know what the issue was.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"After completing all rounds for 2 months, I was told selectors are confused with requirements and have put resume on hold and then rejected. In all 2 months duration, I had to contact SPOC every other day for answer on next step. The spocs keep apologizing but same repeated again(""will get back to you""). Can't really blame them as they said they did not get clarity either on the process. Overall, all efforts of candidates went in vain.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
"machine coding round needs to be improved, its not correct to expect interviewee to write everything from scratch in 1.5 hours.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
The pay package was disappointing and graduate level position were offered to MBA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The interview process seemed slightly longer. There were a few repetitive questions. Panel discussion would have removed repetition.,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Please have professionalism and don't give any lame reason to reject a candidate.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
felt interviewers are going with the flow and not prepared. i was not informed whether interviewer is taking notes or not. those two things have scope,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
He asked a problem which is very lengthy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"The requirements were changed by them at last moment , which was very unprofessional.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Google doc for DSA round isn't a very good idea.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The 2nd round interviewer was very rude.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Should be transparent which lacks. Still did not revealed the interview results and no support from HR regarding the results.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
I have to gain more knowledge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The entire process was quite lengthy and uninformed.. there was a feeling of uncertainty,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
The Recruitment process was tool slow,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"All my rounds were done by Friday and HR told me they will get back to by Monday after the debrief. 
But I didn't hear back from the HR till Thursday and I had to call the HR person on Thursday where they told me they aren't going forward with the candidature without giving any feedback.

If they are rejecting a candidate, they should give proper feedback about where things went wrong. It doesn't give a very good first impression of the company.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Interviewers were all great.. I wish we had closed down the offer rollout in mutually agreeable way rather than one sided.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I didn’t find any cons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
